family criticizes interesting cave,1
family recommends disgusting landscape,1
family enters impressive museum,1
family criticizes impressive landscape,1
student enters interesting museum,1
family visits interesting mine,1
family visits boring train,1
student enjoys impressive route,1
student recommends impressive museum,1
tourist recommends impressive route,1
tourist enjoys interesting train,1
family enjoys open museum,1
family enjoys abandoned train,1
student enjoys open route,1
family recommends interesting train,1
family enters interesting museum,1
family visits impressive train,1
family visits disgusting cave,1
tourist enjoys impressive landscape,1
tourist recommends open cave,1
family enjoys boring mine,1
student recommends open museum,1
family criticizes impressive factory,1
tourist recommends interesting museum,1
tourist enters interesting route,1
family recommends abandoned factory,1
tourist enters interesting train,1
student enjoys impressive cave,1
student enters interesting cave,1
family enjoys interesting museum,1
student recommends impressive factory,1
family visits open route,1
tourist visits interesting cave,1
family enters impressive cave,1
student recommends open mine,1
tourist visits impressive museum,1
family recommends boring mine,1
family recommends abandoned train,1
tourist recommends interesting factory,1
family visits boring landscape,1
student enjoys interesting route,1
family enjoys interesting route,1
tourist enters impressive factory,1
family enters interesting train,1
family visits impressive museum,1
student enjoys open mine,1
family visits impressive factory,1
family visits boring factory,1
tourist visits impressive train,1
family criticizes interesting factory,1
family enjoys abandoned factory,1
tourist visits impressive cave,1
family enjoys disgusting cave,1
tourist visits interesting train,1
family enjoys interesting cave,1
family criticizes interesting landscape,1
family enjoys impressive cave,1
tourist enjoys impressive train,1
student visits open cave,1
tourist enjoys open mine,1
tourist visits interesting factory,1
student visits impressive museum,1
student visits impressive factory,1
student enjoys impressive museum,1
student enters interesting route,1
student enjoys impressive factory,1
tourist enters impressive museum,1
family recommends disgusting mine,1
student recommends impressive mine,1
family enters interesting cave,1
family enjoys disgusting landscape,1
family recommends impressive factory,1
family enjoys disgusting museum,1
family enjoys interesting factory,1
student recommends interesting factory,1
tourist visits impressive mine,1
family recommends impressive museum,1
tourist enjoys impressive route,1
family visits open landscape,1
student recommends open cave,1
family recommends open route,1
family recommends disgusting factory,1
tourist enjoys interesting museum,1
tourist enters interesting landscape,1
family enters interesting factory,1
tourist recommends impressive mine,1
tourist recommends interesting train,1
family visits boring museum,1
tourist enters impressive landscape,1
family recommends abandoned route,1
family visits impressive route,1
family recommends open mine,1
student visits impressive landscape,1
tourist visits interesting museum,1
family enjoys impressive train,1
family enjoys open cave,1
family criticizes interesting train,1
family enjoys impressive route,1
student enjoys impressive train,1
family enters interesting mine,1
family criticizes boring route,-1
student criticizes boring train,-1
tourist criticizes disgusting mine,-1
family criticizes disgusting mine,-1
student criticizes abandoned landscape,-1
tourist criticizes disgusting route,-1
student criticizes boring cave,-1
family criticizes abandoned mine,-1
tourist criticizes boring landscape,-1
student enters abandoned landscape,-1
tourist enters boring route,-1
family criticizes boring landscape,-1
student enters disgusting cave,-1
student criticizes open train,-1
student enters disgusting landscape,-1
tourist criticizes disgusting cave,-1
family criticizes abandoned train,-1
student criticizes disgusting landscape,-1
tourist criticizes boring cave,-1
tourist criticizes boring train,-1
student enters boring train,-1
tourist enters disgusting mine,-1
tourist criticizes boring route,-1
tourist enters boring factory,-1
family criticizes disgusting landscape,-1
student criticizes abandoned route,-1
student criticizes disgusting route,-1
family criticizes abandoned factory,-1
tourist enters disgusting cave,-1
tourist enters disgusting museum,-1
student criticizes open mine,-1
student enters boring cave,-1
student enters boring landscape,-1
tourist criticizes abandoned landscape,-1
student criticizes boring factory,-1
tourist enters disgusting route,-1
tourist criticizes boring mine,-1
student criticizes disgusting museum,-1
tourist enters abandoned mine,-1
student criticizes boring landscape,-1
student enters abandoned cave,-1
student enters abandoned route,-1
tourist criticizes disgusting factory,-1
tourist enters abandoned factory,-1
family criticizes abandoned museum,-1
family criticizes disgusting cave,-1
tourist criticizes open factory,-1
student criticizes open route,-1
family criticizes boring factory,-1
tourist criticizes abandoned mine,-1
tourist criticizes open landscape,-1
tourist enters abandoned route,-1
student criticizes disgusting mine,-1
student criticizes abandoned museum,-1
tourist enters disgusting factory,-1
student criticizes boring route,-1
student enters abandoned museum,-1
student enters disgusting mine,-1
student criticizes open landscape,-1
student criticizes open cave,-1
student enters abandoned mine,-1
student enters disgusting route,-1
student enters abandoned factory,-1
tourist criticizes disgusting train,-1
student criticizes abandoned cave,-1
tourist enters boring cave,-1
family criticizes disgusting route,-1
tourist criticizes abandoned train,-1
student criticizes open museum,-1
family criticizes boring train,-1
tourist enters boring museum,-1
tourist criticizes abandoned factory,-1
tourist criticizes boring museum,-1
tourist criticizes open mine,-1
family criticizes abandoned cave,-1
student enters disgusting train,-1
student criticizes disgusting train,-1
tourist criticizes open train,-1
tourist enters abandoned museum,-1
student enters abandoned train,-1
student criticizes abandoned train,-1
student criticizes abandoned mine,-1
family criticizes abandoned landscape,-1
tourist enters boring train,-1
tourist criticizes boring factory,-1
student criticizes boring mine,-1
tourist criticizes open cave,-1
family criticizes disgusting museum,-1
student criticizes open factory,-1
student criticizes boring museum,-1
student enters boring route,-1
student criticizes disgusting cave,-1
tourist enters abandoned cave,-1
tourist enters disgusting train,-1
student enters boring factory,-1
student enters disgusting factory,-1
tourist criticizes open route,-1
tourist criticizes abandoned cave,-1
student enters disgusting museum,-1
student enters boring mine,-1
